"Frequency
Percent",,,,,,
"Table of AREA by AGE",,,,,,
"AREA(AREA_CODE)","AGE(AGE_AT_INJURY)",,,,,
,"0-4 Y","5-9 Y","10-14 Y","15-19 Y","20+ Y","Total"
"UNKNOWN","12419
10.38","7411
6.20","10249
8.57","5788
4.84","9430
7.89","45297
37.88"
"BATHROOM","1006
0.84","258
0.22","165
0.14","121
0.10","376
0.31","1926
1.61"
"BEDROOM","4604
3.85","1110
0.93","594
0.50","308
0.26","517
0.43","7133
5.96"
"CLASSROOM","543
0.45","387
0.32","345
0.29","123
0.10","17
0.01","1415
1.18"
"OTHER SPECIFIED","1508
1.26","730
0.61","1115
0.93","561
0.47","940
0.79","4854
4.06"
"KITCHEN","2465
2.06","477
0.40","393
0.33","216
0.18","712
0.60","4263
3.56"
"LIVING ROOM","5478
4.58","1073
0.90","455
0.38","166
0.14","380
0.32","7552
6.31"
"BASEMENT","366
0.31","377
0.32","244
0.20","100
0.08","157
0.13","1244
1.04"
"STRUCTURE","98
0.08","84
0.07","142
0.12","101
0.08","397
0.33","822
0.69"
"STAIRS","2770
2.32","854
0.71","985
0.82","537
0.45","1256
1.05","6402
5.35"
"BALCONY/DECK","293
0.24","107
0.09","67
0.06","41
0.03","206
0.17","714
0.60"
"PAVED ROAD","61
0.05","197
0.16","424
0.35","186
0.16","277
0.23","1145
0.96"
"DRIVEWAY","218
0.18","250
0.21","238
0.20","69
0.06","189
0.16","964
0.81"
"SIDEWALK","569
0.48","562
0.47","853
0.71","442
0.37","545
0.46","2971
2.48"
"PLAYGROUND","1274
1.07","2497
2.09","920
0.77","56
0.05","28
0.02","4775
3.99"
"GARDEN/YARD","1523
1.27","3281
2.74","2880
2.41","564
0.47","998
0.83","9246
7.73"
"GYM","182
0.15","964
0.81","3803
3.18","1722
1.44","379
0.32","7050
5.89"
"SPORT FIELD/TRACK","31
0.03","391
0.33","2321
1.94","1778
1.49","401
0.34","4922
4.12"
"POOL","164
0.14","299
0.25","304
0.25","99
0.08","56
0.05","922
0.77"
"RINK","55
0.05","577
0.48","2876
2.40","1386
1.16","381
0.32","5275
4.41"
"BODY OF WATER","38
0.03","109
0.09","208
0.17","130
0.11","217
0.18","702
0.59"
"Total","35665
29.82","21995
18.39","29581
24.73","14494
12.12","17859
14.93","119594
100.00"
